,MSSubClass,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,KitchenAbvGr,KitchenQual,Functional,GarageType,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleCondition,OverallQual,OverallCond,SalePrice,LotArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,YearsToSale
0,60,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,61,0,0,0,0,Normal,7,5,208500,8450,706,856,856,854,0,1710,3,8,0,2,548,5
1,20,RL,Pave,Reg,Lvl,AllPub,FR2,Veenker,1Fam,1Story,TA,TA,CBlock,Gd,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,298,0,0,0,0,0,Normal,6,8,181500,9600,978,1262,1262,0,0,1262,3,6,1,2,460,31
2,60,RL,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,42,0,0,0,0,Normal,7,5,223500,11250,486,920,920,866,0,1786,3,6,1,2,608,6
3,70,RL,Pave,IR1,Lvl,AllPub,Corner,Crawfor,1Fam,2Story,TA,TA,BrkTil,TA,Gd,ALQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Detchd,Y,0,35,272,0,0,0,Abnorml,7,5,140000,9550,216,756,961,756,0,1717,3,7,1,3,642,36
4,60,RL,Pave,IR1,Lvl,AllPub,FR2,NoRidge,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,192,84,0,0,0,0,Normal,8,5,250000,14260,655,1145,1145,1053,0,2198,4,9,1,3,836,8
5,50,RL,Pave,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1.5Fin,TA,TA,Wood,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,40,30,0,320,0,0,Normal,5,5,143000,14115,732,796,796,566,0,1362,1,5,0,2,480,14
6,20,RL,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,Gd,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,255,57,0,0,0,0,Normal,8,5,307000,10084,1369,1686,1694,0,0,1694,3,7,1,2,636,2
7,60,RL,Pave,IR1,Lvl,AllPub,Corner,NWAmes,1Fam,2Story,TA,TA,CBlock,Gd,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,235,204,228,0,0,0,Normal,7,6,200000,10382,859,1107,1107,983,0,2090,3,7,2,2,484,36
8,50,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1.5Fin,TA,TA,BrkTil,TA,TA,Unf,GasA,Gd,Y,FuseF,2,TA,Min1,Detchd,Y,90,0,205,0,0,0,Abnorml,7,5,129900,6120,0,952,1022,752,0,1774,2,8,2,2,468,58
9,190,RL,Pave,Reg,Lvl,AllPub,Corner,BrkSide,2fmCon,1.5Unf,TA,TA,BrkTil,TA,TA,GLQ,GasA,Ex,Y,SBrkr,2,TA,Typ,Attchd,Y,0,4,0,0,0,0,Normal,5,6,118000,7420,851,991,1077,0,0,1077,2,5,2,1,205,58
10,20,RL,Pave,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,Ex,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,5,5,129500,11200,906,1040,1040,0,0,1040,3,5,0,1,384,43
11,60,RL,Pave,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,Ex,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Ex,Typ,BuiltIn,Y,147,21,0,0,0,0,Partial,9,5,345000,11924,998,1175,1182,1142,0,2324,4,11,2,3,736,0
